epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1037.89,0.80125,0.74664,1.15141,0.64076,0.5924,0.61398,0.427,1.30609,1.22848,1.48744,0.000547306,0.000547306,0.000547306
43,1061.67,0.77576,0.69004,1.09956,0.75267,0.53116,0.57442,0.40458,1.2915,1.27309,1.4619,0.000533558,0.000533558,0.000533558
44,1085.89,0.77671,0.71711,1.11539,0.59757,0.58143,0.59961,0.42441,1.27514,1.2956,1.46233,0.000519809,0.000519809,0.000519809
45,1110.08,0.76643,0.69484,1.10824,0.70068,0.54223,0.59466,0.42624,1.26972,1.27559,1.46501,0.00050606,0.00050606,0.00050606
46,1134.28,0.75699,0.68324,1.08543,0.73989,0.53939,0.62297,0.44745,1.29444,1.26227,1.46954,0.000492312,0.000492312,0.000492312
47,1158.26,0.7353,0.66523,1.0914,0.6799,0.57062,0.58701,0.42105,1.24508,1.22084,1.4633,0.000478563,0.000478563,0.000478563
48,1182.43,0.74065,0.64778,1.08875,0.69426,0.56466,0.61669,0.44943,1.29492,1.25098,1.51082,0.000464815,0.000464815,0.000464815
49,1206.61,0.73095,0.64235,1.08158,0.66223,0.52553,0.56441,0.42266,1.23446,1.31031,1.47549,0.000451066,0.000451066,0.000451066
50,1230.88,0.72925,0.63005,1.07064,0.67121,0.57496,0.62404,0.43887,1.25206,1.29546,1.44721,0.000437317,0.000437317,0.000437317
51,1255.16,0.68855,0.59069,1.06322,0.64665,0.56773,0.58845,0.42486,1.26568,1.34528,1.47949,0.000423569,0.000423569,0.000423569
52,1279.4,0.6989,0.62185,1.07564,0.56965,0.62686,0.60181,0.44257,1.2361,1.34609,1.44981,0.00040982,0.00040982,0.00040982
53,1303.51,0.68852,0.61481,1.06447,0.66004,0.59995,0.61801,0.45291,1.22059,1.18363,1.4309,0.000396071,0.000396071,0.000396071
54,1328.15,0.69269,0.59235,1.05158,0.65032,0.55843,0.59652,0.4446,1.20033,1.19495,1.42114,0.000382323,0.000382323,0.000382323
55,1352.28,0.67141,0.58287,1.03676,0.65916,0.59489,0.61354,0.4477,1.274,1.26579,1.49783,0.000368574,0.000368574,0.000368574
56,1376.41,0.66962,0.58112,1.04963,0.65716,0.55867,0.60423,0.44265,1.2396,1.36979,1.4629,0.000354826,0.000354826,0.000354826
57,1400.51,0.63886,0.53902,1.04094,0.58954,0.59634,0.57992,0.41856,1.25317,1.36111,1.47734,0.000341077,0.000341077,0.000341077
58,1424.91,0.64912,0.55729,1.0439,0.6406,0.59565,0.58458,0.42483,1.25067,1.31791,1.47584,0.000327328,0.000327328,0.000327328
59,1449.36,0.63939,0.54453,1.02704,0.67289,0.6,0.62772,0.46279,1.22102,1.26819,1.4365,0.00031358,0.00031358,0.00031358
60,1473.87,0.6334,0.54837,1.02879,0.63151,0.61138,0.60894,0.45109,1.23799,1.31587,1.44267,0.000299831,0.000299831,0.000299831
61,1498.5,0.65326,0.56248,1.03183,0.69476,0.59749,0.61548,0.45578,1.23055,1.30065,1.44287,0.000286083,0.000286083,0.000286083
62,1522.7,0.61672,0.52169,1.0236,0.68353,0.58108,0.6286,0.46458,1.21369,1.23421,1.43264,0.000272334,0.000272334,0.000272334
63,1547.17,0.62395,0.52584,1.00611,0.58425,0.5719,0.59636,0.44702,1.18951,1.29054,1.4182,0.000258585,0.000258585,0.000258585
64,1571.65,0.60737,0.51382,1.0243,0.72834,0.52456,0.60878,0.45044,1.24924,1.20762,1.48831,0.000244837,0.000244837,0.000244837
65,1596.04,0.59028,0.49154,1.00256,0.62037,0.61005,0.61649,0.45577,1.24822,1.22006,1.48337,0.000231088,0.000231088,0.000231088
66,1620.51,0.6054,0.49467,0.99795,0.71442,0.56522,0.62335,0.46641,1.2066,1.21907,1.42641,0.000217339,0.000217339,0.000217339
67,1644.96,0.57391,0.48429,1.00331,0.64602,0.57908,0.62447,0.4552,1.25139,1.32463,1.45495,0.000203591,0.000203591,0.000203591
68,1669.45,0.58152,0.49094,1.00426,0.68353,0.58996,0.62492,0.46198,1.24582,1.25499,1.47078,0.000189842,0.000189842,0.000189842
69,1693.34,0.55896,0.46871,0.99566,0.70107,0.56331,0.63113,0.46834,1.19284,1.22976,1.41137,0.000176094,0.000176094,0.000176094
70,1717.69,0.58637,0.47537,0.98447,0.64935,0.57783,0.60291,0.45258,1.20501,1.2856,1.43816,0.000162345,0.000162345,0.000162345
71,1743.29,0.52795,0.39915,0.96643,0.70811,0.58583,0.61003,0.44964,1.24527,1.31204,1.47577,0.000148596,0.000148596,0.000148596
72,1766.8,0.50093,0.37007,0.93967,0.65034,0.58849,0.59987,0.45352,1.25097,1.34623,1.48858,0.000134848,0.000134848,0.000134848
73,1790.53,0.48927,0.35741,0.9423,0.73582,0.54449,0.60416,0.45659,1.23367,1.29979,1.46398,0.000121099,0.000121099,0.000121099
74,1814.25,0.47214,0.34121,0.93092,0.75695,0.50536,0.60224,0.46014,1.21714,1.31524,1.44882,0.00010735,0.00010735,0.00010735
75,1837.97,0.4731,0.33804,0.9305,0.67084,0.53879,0.61559,0.46316,1.20632,1.25894,1.44604,9.36017e-05,9.36017e-05,9.36017e-05
76,1861.87,0.46171,0.33177,0.92165,0.70326,0.54503,0.60406,0.45984,1.19718,1.25425,1.43538,7.98531e-05,7.98531e-05,7.98531e-05
77,1885.6,0.45506,0.32949,0.92167,0.67385,0.54734,0.60853,0.45733,1.19282,1.31429,1.42185,6.61045e-05,6.61045e-05,6.61045e-05
78,1909.39,0.44987,0.32163,0.90978,0.68068,0.57636,0.61985,0.45969,1.20385,1.30541,1.44707,5.23559e-05,5.23559e-05,5.23559e-05
79,1932.48,0.44861,0.31972,0.913,0.73091,0.57141,0.63124,0.46505,1.20253,1.27576,1.46309,3.86073e-05,3.86073e-05,3.86073e-05
80,1956.22,0.432,0.31937,0.91334,0.77931,0.55177,0.62525,0.46867,1.2055,1.31283,1.44698,2.48586e-05,2.48586e-05,2.48586e-05
