epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,947.799,0.7257,0.70375,1.13791,0.61893,0.54926,0.54908,0.40968,1.18342,1.59766,1.56975,0.000359409,0.000359409,0.000359409
43,970.017,0.7054,0.70663,1.12475,0.6047,0.56687,0.57291,0.41887,1.15982,1.51159,1.59267,0.000341077,0.000341077,0.000341077
44,991.959,0.70702,0.69961,1.13326,0.61547,0.53796,0.5609,0.41368,1.19822,1.53923,1.61127,0.000322745,0.000322745,0.000322745
45,1013.59,0.70234,0.67765,1.12565,0.72575,0.54733,0.61062,0.4592,1.18928,1.50525,1.60145,0.000304414,0.000304414,0.000304414
46,1036.37,0.68753,0.64816,1.10699,0.6239,0.55555,0.57199,0.42904,1.21978,1.55356,1.62135,0.000286083,0.000286083,0.000286083
47,1058.89,0.68349,0.62093,1.11164,0.70223,0.5288,0.58468,0.44913,1.18728,1.52002,1.57852,0.000267751,0.000267751,0.000267751
48,1080.49,0.68268,0.63639,1.10617,0.7084,0.54113,0.59397,0.4409,1.18252,1.59393,1.56604,0.00024942,0.00024942,0.00024942
49,1102.75,0.66501,0.61095,1.09941,0.61234,0.57732,0.59405,0.44251,1.17435,1.57266,1.56081,0.000231088,0.000231088,0.000231088
50,1124.75,0.64717,0.59858,1.07732,0.60623,0.60184,0.58321,0.44447,1.15773,1.62686,1.5574,0.000212757,0.000212757,0.000212757
51,1147.95,0.5923,0.50261,1.03621,0.63364,0.56223,0.5699,0.43604,1.18892,1.57919,1.62579,0.000194425,0.000194425,0.000194425
52,1170.42,0.56884,0.44263,1.03195,0.6397,0.52011,0.57929,0.42951,1.18679,1.61026,1.60263,0.000176094,0.000176094,0.000176094
53,1192.58,0.53789,0.41728,1.00862,0.65113,0.53565,0.57054,0.42648,1.15408,1.61037,1.57955,0.000157762,0.000157762,0.000157762
54,1214.01,0.53756,0.40565,1.01321,0.67457,0.52433,0.56868,0.44067,1.14833,1.58474,1.57684,0.000139431,0.000139431,0.000139431
55,1236.48,0.5163,0.38723,1.00216,0.65678,0.53465,0.58995,0.45101,1.13613,1.55035,1.57914,0.000121099,0.000121099,0.000121099
56,1257.9,0.50785,0.38271,0.99235,0.7404,0.52183,0.58869,0.44315,1.15739,1.57102,1.60011,0.000102768,0.000102768,0.000102768
57,1279.51,0.49405,0.37173,0.98144,0.65925,0.5663,0.60441,0.45289,1.14702,1.48758,1.60059,8.4436e-05,8.4436e-05,8.4436e-05
58,1301.86,0.4912,0.36264,0.98762,0.7224,0.54598,0.60087,0.44914,1.15747,1.47437,1.59829,6.61045e-05,6.61045e-05,6.61045e-05
59,1323.09,0.47236,0.35796,0.9574,0.78379,0.52525,0.62026,0.46626,1.15985,1.45868,1.60525,4.7773e-05,4.7773e-05,4.7773e-05
60,1345.21,0.47229,0.34407,0.96384,0.7011,0.56035,0.61619,0.46583,1.15177,1.48371,1.59501,2.94415e-05,2.94415e-05,2.94415e-05
